mouraID;NOME;SEXO;PORTE;CAD PETZ ID;DATA DE NASCIMENTO;PESO;FOTO;UNIDADE PETZ;CIDADE;ESTADO;IDADE (MESES);FILHOTE;ENTRADA;PERMANÊNCIA;FAIXA ETARIA
4680644;Alagoas;FEMALE;Pequeno;7195572;2020-09-06;4.0;https://s3.amazonaws.com/petz-cdm-stg/c6698ab7-de79-4a6c-b14f-d2fc368f906b.jpeg;Petz Alto da Boa Vista;SAO PAULO;SP;49;False;2024-09-28;2;ADULTO
4679883;ANDRIA;FEMALE;Pequeno;7194608;2024-02-14;2.0;https://s3.amazonaws.com/petz-cdm-stg/fe9cc0c7-f9d0-4a6e-a1eb-ce0c82b51117.jpeg;Petz Bosque Maia;GUARULHOS;SP;8;True;2024-09-28;0;FILHOTE
4595572;ANTONIO;MALE;Pequeno;7086469;2023-10-24;3.0;https://s3.amazonaws.com/petz-cdm-stg/7ba3b91b-d76a-4e66-a068-01beca2efd6e.jpeg;Petz Carrefour São Caetano;SAO CAETANO DO SUL;SP;12;False;2024-09-28;0;JUNIOR
4682537;Babi;FEMALE;Pequeno;7197871;2022-01-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/c224893f-cba4-4350-9f3f-e1745326807b.jpeg;Petz Araçatuba;ARACATUBA;SP;34;False;2024-09-28;3;ADULTO
4680651;Bahia;FEMALE;Pequeno;7195581;2022-05-06;3.0;https://s3.amazonaws.com/petz-cdm-stg/71090702-5260-4b07-af8c-b4add9b4c1db.jpeg;Petz Alto da Boa Vista;SAO PAULO;SP;29;False;2024-09-28;2;ADULTO
4679898;BIA ;FEMALE;Pequeno;7194629;2023-10-26;3.0;https://s3.amazonaws.com/petz-cdm-stg/5bcbd9e3-ae5d-4e72-9700-d5bf62f54a14.jpeg;Petz Bosque Maia;GUARULHOS;SP;12;False;2024-09-28;0;JUNIOR
3490609;Bibiane;FEMALE;Pequeno;5963320;2022-02-11;3.1;https://s3.amazonaws.com/petz-cdm-stg/c7547bdd-57ab-4b7c-afce-3a8b7ff62f2d.jpeg;Petz Giovanni Pirelli;SANTO ANDRE;SP;32;False;2024-09-28;0;ADULTO
4679879;BORIS ;MALE;Pequeno;7194604;2023-11-04;4.0;https://s3.amazonaws.com/petz-cdm-stg/fc22106a-2d3a-417b-a63e-ecb95eebd295.jpeg;Petz Bosque Maia;GUARULHOS;SP;12;False;2024-09-28;0;JUNIOR
4655835;Churu;MALE;Pequeno;7163239;2024-04-30;2.0;https://s3.amazonaws.com/petz-cdm-stg/b0cb87a1-4570-4ab4-8b7a-301b3e3f61d6.jpeg;Petz Limão;SAO PAULO;SP;6;True;2024-09-28;0;FILHOTE
4687018;CLEO PIRES ;FEMALE;Pequeno;7203455;2023-09-12;4.0;https://s3.amazonaws.com/petz-cdm-stg/a16fdb73-915e-4f7e-91f6-b6e8f8d1ee57.jpeg;Petz Bosque Maia;GUARULHOS;SP;13;False;2024-09-28;0;JUNIOR
4676401;Dadá;FEMALE;Pequeno;7189872;2024-02-25;3.0;https://s3.amazonaws.com/petz-cdm-stg/b8d31c37-fa44-492f-bc4f-5a95f3928460.jpeg;Petz Limão;SAO PAULO;SP;8;True;2024-09-28;2;FILHOTE
4686153;Dalila;FEMALE;Pequeno;7202445;2023-12-28;3.0;https://s3.amazonaws.com/petz-cdm-stg/31d8d018-1cd7-4e89-930b-6671b2ba887c.jpeg;Petz Radial Leste;SAO PAULO;SP;10;True;2024-09-28;0;FILHOTE
4598362;Dom Juan;MALE;Pequeno;7090008;2023-10-10;4.0;https://s3.amazonaws.com/petz-cdm-stg/07187f9f-c1b2-4c9d-a79a-89981ab892f0.jpeg;Petz Indaiatuba;INDAIATUBA;SP;12;False;2024-09-28;2;JUNIOR
4686345;enrico;MALE;Pequeno;7202649;2024-05-24;2.0;https://s3.amazonaws.com/petz-cdm-stg/16cb511e-4ac2-445c-8fac-c71162a2e721.jpeg;Petz Carrefour São Caetano;SAO CAETANO DO SUL;SP;5;True;2024-09-28;1;FILHOTE
4682329;Francisco;MALE;Pequeno;7197635;2021-09-13;5.0;https://s3.amazonaws.com/petz-cdm-stg/d8b6d704-36f1-4d7c-9833-1cfb763de70c.jpeg;Petz Anália Franco;SAO PAULO;SP;37;False;2024-09-28;0;ADULTO
4687580;HAVENNA;FEMALE;Pequeno;7204199;2022-09-01;4.0;https://s3.amazonaws.com/petz-cdm-stg/dae86c46-f61c-4a9d-8061-8500d9504880.jpeg;Petz Ricardo Jafet 24h;SAO PAULO;SP;26;False;2024-09-28;0;ADULTO
4688837;JOEY;MALE;Pequeno;7205777;2024-07-20;1.0;https://s3.amazonaws.com/petz-cdm-stg/604bcd28-cbd8-4842-8348-d79c42127c52.jpeg;Petz Carrefour São Caetano;SAO CAETANO DO SUL;SP;3;True;2024-09-28;0;FILHOTE
4680658;Maremoto;MALE;Pequeno;7195585;2024-05-06;3.0;https://s3.amazonaws.com/petz-cdm-stg/fb94fd6f-3164-4a13-bab1-eb906ebf2e68.jpeg;Petz Alto da Boa Vista;SAO PAULO;SP;5;True;2024-09-28;0;FILHOTE
4676405;Maria ;FEMALE;Pequeno;7189877;2024-02-25;3.0;https://s3.amazonaws.com/petz-cdm-stg/29e2d720-13d8-4e6a-bb5d-dcf8f5f6629a.jpeg;Petz Limão;SAO PAULO;SP;8;True;2024-09-28;3;FILHOTE
4686344;maria clara;FEMALE;Pequeno;7202648;2024-05-24;1.0;https://s3.amazonaws.com/petz-cdm-stg/b0477390-7fab-4735-8b81-383d5e51d5db.jpeg;Petz Carrefour São Caetano;SAO CAETANO DO SUL;SP;5;True;2024-09-28;0;FILHOTE
4680844;Matheus;MALE;Pequeno;7195771;2022-09-23;3.0;https://s3.amazonaws.com/petz-cdm-stg/40b0e4ce-388e-4cce-bff0-96b5a1ce66ee.jpeg;Petz Campo Grande;CAMPO GRANDE;MS;25;False;2024-09-28;0;ADULTO
4688698;Mel ;FEMALE;Pequeno;7205610;2023-01-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/202e32b1-11b6-4cea-92cb-4130b736a6f9.jpeg;Petz Araçatuba;ARACATUBA;SP;22;False;2024-09-28;2;JUNIOR
4688853;MONICA;FEMALE;Pequeno;7205795;2024-07-20;1.0;https://s3.amazonaws.com/petz-cdm-stg/62c3f847-6926-449b-b1bc-58d340218a8c.jpeg;Petz Carrefour São Caetano;SAO CAETANO DO SUL;SP;3;True;2024-09-28;1;FILHOTE
4682536;Pablo ;MALE;Pequeno;7197873;2023-12-12;3.0;https://s3.amazonaws.com/petz-cdm-stg/eca9452c-7197-4f1d-90e7-b27a9014dc63.jpeg;Petz Araçatuba;ARACATUBA;SP;10;True;2024-09-28;0;FILHOTE
4688830;PHOEBE;FEMALE;Pequeno;7205769;2024-07-20;1.0;https://s3.amazonaws.com/petz-cdm-stg/f32410f8-207b-42c5-b651-49429a015f10.jpeg;Petz Carrefour São Caetano;SAO CAETANO DO SUL;SP;3;True;2024-09-28;1;FILHOTE
4688824;RACHEL;FEMALE;Pequeno;7205762;2024-07-20;1.0;https://s3.amazonaws.com/petz-cdm-stg/37c09832-c55e-48fd-9a13-89b44c425b15.jpeg;Petz Carrefour São Caetano;SAO CAETANO DO SUL;SP;3;True;2024-09-28;0;FILHOTE
4687019;Suzy;FEMALE;Pequeno;7203460;2023-08-10;4.0;https://s3.amazonaws.com/petz-cdm-stg/394b447d-58a9-49e2-8bb0-d690f03de4be.jpeg;Petz Bosque Maia;GUARULHOS;SP;14;False;2024-09-28;0;JUNIOR
4682636;Teddy;MALE;Pequeno;7197986;2022-05-05;3.0;https://s3.amazonaws.com/petz-cdm-stg/ecd4df1c-57c4-444f-a5ac-023312963978.jpeg;Petz Campo Grande;CAMPO GRANDE;MS;30;False;2024-09-28;0;ADULTO
4686343;thomaz;MALE;Pequeno;7202647;2024-05-24;2.0;https://s3.amazonaws.com/petz-cdm-stg/963f22a0-6861-4c9c-b578-81bd31e7955b.jpeg;Petz Carrefour São Caetano;SAO CAETANO DO SUL;SP;5;True;2024-09-28;1;FILHOTE
4680613;Tigre;MALE;Pequeno;7195538;2024-02-04;2.0;https://s3.amazonaws.com/petz-cdm-stg/917f60f3-02a9-41b3-8920-1101d1cc5fee.jpeg;Petz Indaiatuba;INDAIATUBA;SP;9;True;2024-09-28;2;FILHOTE
4686136;Tom;MALE;Pequeno;7202414;2022-09-01;4.0;https://s3.amazonaws.com/petz-cdm-stg/203fde23-b6da-483b-887d-5fad7389df0d.jpeg;Petz Presidente Prudente;PRESIDENTE PRUDENTE;SP;26;False;2024-09-28;0;ADULTO
4687027;TOM;MALE;Pequeno;7203472;2023-10-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/0d17207c-a120-4a23-931b-609e3a5fdcdf.jpeg;Petz Bosque Maia;GUARULHOS;SP;12;False;2024-09-28;0;JUNIOR
4567484;AIMÊ;FEMALE;Pequeno;7050593;2023-11-20;3.0;https://s3.amazonaws.com/petz-cdm-stg/7c55a0fc-5ff4-456d-adb2-375197f21b7d.jpeg;Petz Aricanduva;SAO PAULO;SP;11;True;2024-10-05;3;FILHOTE
4693777;Arondir;MALE;Pequeno;7212476;2024-05-27;2.0;https://s3.amazonaws.com/petz-cdm-stg/f31f787e-1ac4-49b6-a7ba-3ba49cfffc90.jpeg;Petz Augusta;SAO PAULO;SP;5;True;2024-10-05;0;FILHOTE
4605337;Bruce;MALE;Pequeno;7099277;2022-11-19;4.0;https://s3.amazonaws.com/petz-cdm-stg/9079d8e2-df63-423f-959b-4e89a3a11646.jpeg;Petz Sorocaba;SOROCABA;SP;23;False;2024-10-05;1;JUNIOR
4697432;cacau;FEMALE;Pequeno;7217462;2024-07-21;1.0;https://s3.amazonaws.com/petz-cdm-stg/b387a374-9a7d-4f05-85cd-b88a10c2f7b8.jpeg;Petz São Luis;SAO LUIS;MA;3;True;2024-10-05;3;FILHOTE
4695215;Cats Eye;MALE;Pequeno;7214416;2024-06-09;2.0;https://s3.amazonaws.com/petz-cdm-stg/ada74bdc-4648-4f42-b6a6-d26478606f62.jpeg;Petz Anália Franco;SAO PAULO;SP;4;True;2024-10-05;0;FILHOTE
4692323;Chikim;MALE;Pequeno;7210467;2024-04-01;1.0;https://s3.amazonaws.com/petz-cdm-stg/fe2ecb0e-65c0-4f99-9f94-4d8fc108fca1.jpeg;Petz Parque Flamboyant;GOIANIA;GO;7;True;2024-10-05;3;FILHOTE
4675082;Cindy;FEMALE;Pequeno;7188175;2022-10-24;3.0;https://s3.amazonaws.com/petz-cdm-stg/cd742447-2ef0-4541-98f7-3d83aa2fb4e6.jpeg;Petz Aricanduva;SAO PAULO;SP;24;False;2024-10-05;1;ADULTO
4669250;Cozi;FEMALE;Pequeno;7180330;2020-09-01;4.0;https://s3.amazonaws.com/petz-cdm-stg/3e5ba3a3-170c-4ee5-a823-8e4215b7e8a5.jpeg;Petz Morumbi;SAO PAULO;SP;50;False;2024-10-05;1;ADULTO
4692818;Cristal;FEMALE;Pequeno;7211153;2022-08-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/46340cb2-8858-4cfb-9821-a730fc5c237f.jpeg;Petz Sorocaba;SOROCABA;SP;26;False;2024-10-05;2;ADULTO
4693915;Dengo ;MALE;Pequeno;7212673;2023-10-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/8dfef175-d4f1-4cb7-962a-b3ab1857058e.jpeg;Petz Bueno T63;GOIANIA;GO;13;False;2024-10-05;0;JUNIOR
4693832;Disa;FEMALE;Pequeno;7212552;2024-04-27;2.0;https://s3.amazonaws.com/petz-cdm-stg/82a17aba-0cb2-42cf-b831-90b6330379c3.jpeg;Petz Augusta;SAO PAULO;SP;6;True;2024-10-05;0;FILHOTE
4682516;Disaronrono;MALE;Pequeno;7197846;2023-12-13;3.0;https://s3.amazonaws.com/petz-cdm-stg/d54d1020-dd49-4398-8843-3804e0e4cfef.jpeg;Petz Bandeirantes 24h;SAO PAULO;SP;10;True;2024-10-05;2;FILHOTE
4682511;Doce de Abóbora;FEMALE;Pequeno;7197837;2024-05-20;1.0;https://s3.amazonaws.com/petz-cdm-stg/e0abeca7-9d42-4114-ab50-1a060415bba3.jpeg;Petz Bandeirantes 24h;SAO PAULO;SP;5;True;2024-10-05;2;FILHOTE
4695100;Durin;MALE;Pequeno;7214293;2023-11-27;4.0;https://s3.amazonaws.com/petz-cdm-stg/44e6a33e-1385-493e-84f8-b19bde55029c.jpeg;Petz Anália Franco;SAO PAULO;SP;11;True;2024-10-05;3;FILHOTE
4696235;EMÍLIA ;FEMALE;Pequeno;7215765;2023-10-13;4.0;https://s3.amazonaws.com/petz-cdm-stg/88a6002f-3a46-46a9-b1a7-a99ff3539c83.jpeg;Petz Bosque Maia;GUARULHOS;SP;12;False;2024-10-05;3;JUNIOR
4689619;Emma;FEMALE;Pequeno;7206851;2024-04-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/e4b012e3-4ee4-4387-bf88-39e6d16c24ca.jpeg;Petz Itu;ITU;SP;7;True;2024-10-05;1;FILHOTE
4695216;Emmaretta;FEMALE;Pequeno;7214418;2024-07-16;2.0;https://s3.amazonaws.com/petz-cdm-stg/41ccca99-e2f9-40ce-a380-dd995989aba1.jpeg;Petz Anália Franco;SAO PAULO;SP;3;True;2024-10-05;0;FILHOTE
4691224;Filó;FEMALE;Pequeno;7209038;2022-11-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/21022264-8c5f-455d-b798-4f1969e04453.jpeg;Petz Ricardo Jafet 24h;SAO PAULO;SP;24;False;2024-10-05;0;ADULTO
4693064;Fiona;FEMALE;Pequeno;7211503;2024-05-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/d0567c3a-c4c5-4ada-898a-f453560c4f1d.jpeg;Petz Giovanni Gronchi;SAO PAULO;SP;5;True;2024-10-05;1;FILHOTE
4487794;Gigi;FEMALE;Pequeno;6951410;2024-01-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/98fcb8d9-770d-4d20-8a40-d532ea741dde.jpeg;Petz Salvador Bonocô;SALVADOR;BA;10;True;2024-10-05;0;FILHOTE
4693818;Gil-Galad;MALE;Pequeno;7212530;2024-05-25;2.0;https://s3.amazonaws.com/petz-cdm-stg/d0084572-6777-44e4-b155-3d41b79f55f6.jpeg;Petz Augusta;SAO PAULO;SP;5;True;2024-10-05;0;FILHOTE
